,AidData TUFF Project ID,city_temp_id,region_temp_id,country_id
1742,18590.0,42,,078
1743,24920.0,43,,078
1744,828.0,52,,105
1745,17983.0,53,,105
1746,17994.0,54,,105
1747,23346.0,55,,105
1748,30048.0,56,,105
1749,58117.0,57,,105
1750,38222.0,33,,197
1751,30653.0,41,,079
1752,35440.0,42,,079
1753,59704.0,43,,079
1754,73242.0,44,,079
1755,73245.0,45,,079
1756,18750.0,29,,080
1757,32587.0,30,,080
1758,34154.0,31,,080
1759,63904.0,14,,244
1760,47065.0,43,,239
1761,66085.0,44,,239
1762,72304.0,45,,239
1763,2065.0,705,,081
1764,56524.0,400,,081
1765,1221.0,54,,107
1766,57908.0,55,,107
1767,35766.0,50,,229
1768,63841.0,51,,229
1769,41119.0,41,,108
1770,34420.0,61,,198
1771,34421.0,62,,198
1772,38705.0,63,,198
1773,38755.0,64,,198
1774,53716.0,65,,198
1775,256.0,78,,134
1776,18148.0,79,,134
1777,32756.0,80,,134
1778,58433.0,81,,134
1779,42922.0,81,,178
1780,37023.0,169,,200
1781,37287.0,170,,200
1782,38990.0,171,,200
1783,39030.0,172,,200
1784,53541.0,173,,200
1785,53891.0,174,,200
1786,72395.0,175,,200
1787,72711.0,176,,200
1788,39370.0,47,,222
1789,40426.0,48,,222
1790,56274.0,122,,019
1791,56426.0,123,,019
1792,56427.0,124,,019
1793,69288.0,125,,019
1794,73527.0,54,,019
1795,63877.0,1538,,237
1796,44244.0,375,,190
1797,64849.0,30,,007
1798,42549.0,221,,175
1799,22211.0,21,,084
1800,31283.0,22,,084
1801,35407.0,23,,084
1802,35649.0,24,,084
1803,53053.0,25,,084
1804,33485.0,58,,204
1805,45520.0,59,,204
1806,47019.0,60,,204
1807,71574.0,61,,204
1808,71645.0,62,,204
1809,71647.0,63,,204
1810,30423.0,48,,150
1811,70449.0,22,,065
1812,41087.0,111,,151
1813,43724.0,46,,205
1814,54361.0,47,,205
1815,1931.0,65,,113
1816,64397.0,21,,217
1817,35492.0,23,,136
1818,64343.0,24,,136
1819,72415.0,25,,136
1820,64185.0,7,,009
1821,39807.0,25,,066
1822,59994.0,26,,066
1823,60012.0,27,,066
1824,44280.0,516,,191
1825,66362.0,517,,191
1826,40128.0,81,,213
1827,53667.0,82,,213
1828,64067.0,20,,225
1829,37289.0,103,,069
1830,37914.0,104,,069
1831,37924.0,105,,069
1832,37940.0,106,,069
1833,37941.0,107,,069
1834,38055.0,108,,069
1835,35270.0,102,,232
1836,38919.0,103,,232
1837,64402.0,104,,232
1838,65148.0,105,,232
1839,65808.0,106,,232
1840,65899.0,107,,232
1841,65254.0,29,,208
1842,73097.0,47,,114
1843,22055.0,37,,115
1844,22114.0,38,,115
1845,22271.0,39,,115
1846,22506.0,40,,115
1847,25723.0,41,,115
1848,34627.0,55,,192
1849,523.0,157,,125
1850,31758.0,158,,125
1851,47101.0,131,,096
1852,63957.0,132,,096
1853,67304.0,133,,096
1854,73796.0,134,,096
1855,73911.0,135,,096
1856,85374.0,136,,096
1857,36929.0,340,,015
1858,41096.0,341,,015
1859,44155.0,342,,015
1860,54745.0,343,,015
1861,39719.0,11,,031
1862,39720.0,12,,031
1863,34217.0,42,,233
1864,38332.0,43,,233
1865,42220.0,129,,182
1866,42314.0,130,,182
1867,42355.0,131,,182
1868,66982.0,132,,182
1869,66983.0,133,,182
1870,35661.0,31,,126
1871,59030.0,32,,126
1872,35922.0,94,,020
1873,39080.0,3411,,021
1874,57118.0,22,,098
1875,35675.0,16,,071
1876,53160.0,31,,071
1877,32053.0,55,,226
1878,32249.0,56,,226
1879,33092.0,57,,226
1880,35582.0,58,,226
1881,35687.0,59,,226
1882,38722.0,60,,226
1883,62454.0,61,,226
1884,62469.0,62,,226
1885,974.0,64,,127
1886,31819.0,65,,127
1887,58695.0,66,,127
1888,420.0,29,,128
1889,36228.0,30,,128
1890,73346.0,31,,128
1891,44160.0,474,,038
1892,54701.0,475,,038
