id,country,confucius_institute,partner_uni,status,location_alt
442,United Kingdom,Confucius Institute at the University of Manchester,,Open,
443,United Kingdom,Confucius Institute at the University of Nottingham,,Open,
444,United Kingdom,Confucius Institute at the University of Sheffield,,Open,
445,United Kingdom,Confucius Institute at the University of Southampton,,Closed,
446,United Kingdom,Confucius Institute at the University of Wales Trinity Saint David,,Closed,
447,United Kingdom,Confucius Institute for Business London,,Open,
448,United Kingdom,"Confucius Institute for Dance and Performance at Goldsmiths, University of London",,Closed,
449,United Kingdom,Confucius Institute for Scotland in the University of Edinburgh,,Closed,
450,United Kingdom,Confucius Institute for Scotland's Schools,,Open,
451,United Kingdom,"Confucius Institute for Traditional Chinese Medicine, London",,Closed,
452,United Kingdom,Confucius Institute of Science and Technology Innovation at the University of Huddersfield,,Closed,
453,United Kingdom,Conrfucius Institute at the University of Aberdeen,,Open,
454,United Kingdom,Scottish Confucius Institute for Business and Communication at Heriot Watt University,,Closed,
455,United States,Alabama A&M University,Nanjing Forestry University,Closed,
456,United States,Alabama A&M University,Nanjing Forestry University,open,
457,United States,Alfred University,"China University of Geosciences, Wuhan",open,
458,United States,Arizona State University,Sichuan University,Closed,
459,United States,Auburn University at Montgomery,Hubei University of Economics,Closed,
460,United States,Augusta University,Shanghai University of Traditional Chinese Medicine,Closed,
461,United States,Baruch University,Shanghai International Studies University,Closed,
462,United States,Binghamton University,National Academy of Chinese Theatre Arts,Closed,
463,United States,Broward County Public Schools,,Closed,
464,United States,Bryant University,"China University of Geosciences, Wuhan",Closed,
465,United States,Bryant University ,China University of Geosciences，Wuhan,open,
466,United States,California State University - Long Beach,Hebei Institute of Foreign Languages,Closed,
467,United States,Central Connecticut State University,Shandong Normal University,Closed,
468,United States,Chicago Public Schools,East China Normal University,Closed,
469,United States,China Institute,East China Normal University,open,
470,United States,Clark County School District,,Closed,
471,United States,Cleveland State University,Capital University of Economics and Business,Closed,
472,United States,College of William and Mary ,Beijing Normal University,Closed,
473,United States,Colorado State University,Hunan University,Closed,
474,United States,Columbia University,Renmin University of China,Closed,
475,United States,Community College of Denver,University of Jinan,Closed,
476,United States,Confucius Institute at Alabama A&M University,,Closed,
477,United States,Confucius Institute at Alfred University,,Closed,
478,United States,Confucius Institute at Broward County Public Schools,,Closed,
479,United States,Confucius Institute at Bryant University,,Open,
480,United States,Confucius Institute at Central Connecticut State University,,Closed,
481,United States,Confucius Institute at China Institute,,Closed,
482,United States,Confucius Institute at Clark County School District,,Closed,
483,United States,Confucius Institute at Cleveland State University,,Closed,
484,United States,Confucius Institute at Colorado State University,,Closed,
485,United States,Confucius Institute at Columbia University,,Closed,
486,United States,Confucius Institute at Community College of Denver,,Closed,
487,United States,Confucius Institute at Davis School District,,Closed,
488,United States,Confucius Institute at East Central Ohio Educational Service Center,,Open,
489,United States,Confucius Institute at George Mason University,,Closed,
490,United States,Confucius Institute at Georgia State University,,Closed,
491,United States,Confucius Institute at Houston Independent School District,,Closed,
492,United States,Confucius Institute at Kansas State University,,Open,
493,United States,Confucius Institute at Medga Evers College The City University of New York,,Closed,
494,United States,Confucius Institute at Miami University,,Open,
495,United States,Confucius Institute at Michigan State University,,Closed,
496,United States,Confucius Institute at Middle Tennessee University,,Open,
497,United States,Confucius Institute at New Jersey City University,,Closed,
498,United States,Confucius Institute at New Mexico State University,,Closed,
499,United States,Confucius Institute at Northern State University,,Closed,
500,United States,Confucius Institute at Northwest Nazarene University,,Closed,
501,United States,Confucius Institute at Old Dominion University,,Closed,
502,United States,Confucius Institute at Portland State University,,Closed,
503,United States,Confucius Institute at Presbyterian College,,Closed,
504,United States,"Confucius Institute at Rutgers, the State University of New Jersey",,Closed,
505,United States,Confucius Institute at Savannah State University,,Closed,
506,United States,Confucius Institute at Southern Utah University,,Closed,
507,United States,Confucius Institute at St. Cloud State University,,Closed,
508,United States,Confucius Institute at Stanford University,,Open,
509,United States,"Confucius Institute at State College of Optometry, State University of New York",,Closed,
510,United States,Confucius Institute at State University of New York at Buffalo,,Closed,
511,United States,Confucius Institute at Stony Brook University,,Closed,
512,United States,Confucius Institute at Temple University,,Closed,
513,United States,Confucius Institute at Texas Southern University,,Open,
514,United States,Confucius Institute at Troy University,,Closed,
515,United States,Confucius Institute at Tufts University,,Closed,
516,United States,Confucius Institute at University of Alaska Anchorage,,Closed,
517,United States,"Confucius Institute at University of California, Davis",,Closed,
518,United States,Confucius Institute at Valparaiso University,,Closed,
519,United States,Confucius Institute at Wayne State University,,Closed,
520,United States,Confucius Institute at Webster University,,Open,
521,United States,Confucius Institute at Wesleyan College,,Closed,
522,United States,Confucius Institute at West Virginia University,,Closed,
523,United States,Confucius Institute at Western Michigan University,,Open,
524,United States,Confucius Institute at Xavier University of Louisiana,,Closed,
525,United States,Confucius Institute at the College of William & Mary,,Closed,
526,United States,Confucius Institute at the George Washington University,,Closed,
527,United States,"Confucius Institute at the University at Albany, State University of New York",,Closed,
528,United States,Confucius Institute at the University of Akron,,Open,
529,United States,Confucius Institute at the University of Arizona,,Closed,
530,United States,"Confucius Institute at the University of California, Los Angeles",,Closed,
531,United States,"Confucius Institute at the University of California, Santa Barbara",,Closed,
532,United States,Confucius Institute at the University of Central Arkansas,,Closed,
533,United States,Confucius Institute at the University of Delaware,,Closed,
534,United States,Confucius Institute at the University of Idaho,,Closed,
535,United States,Confucius Institute at the University of Iowa,,Closed,
536,United States,Confucius Institute at the University of Kansas,,Closed,
537,United States,Confucius Institute at the University of Kentucky,,Closed,
538,United States,Confucius Institute at the University of Maryland,,Closed,
539,United States,Confucius Institute at the University of Memphis,,Closed,
540,United States,Confucius Institute at the University of Missouri,,Closed,
541,United States,Confucius Institute at the University of Montana,,Open,
542,United States,Confucius Institute at the University of Nebraska-Lincoln,,Closed,
543,United States,Confucius Institute at the University of New Hampshire,,Closed,
544,United States,Confucius Institute at the University of North Carolina at Charlotte,,Closed,
545,United States,Confucius Institute at the University of Oklahoma,,Open,
546,United States,Confucius Institute at the University of Pittsburgh,,Closed,
547,United States,Confucius Institute at the University of South Carolina,,Closed,
548,United States,Confucius Institute at the University of Southern Maine,,Closed,
549,United States,Confucius Institute at the University of Toledo,,Open,
550,United States,Confucius Institute at the University of Utah,,Open,
551,United States,Confucius Institute at the University of Wisconsin-Platteville,,Closed,
552,United States,Confucius Institute for Business at State University of New York,,Closed,
553,United States,Confucius Institute in Atlanta,,Closed,
554,United States,Confucius Institute in Chicago,,Open,
555,United States,Confucius Institute in San Diego at San Diego Global Educational Institute,,Closed,
556,United States,Confucius Institute of Chinese Opera at the State University of New York at Binghamton,,Closed,
557,United States,Confucius Institute of Western Kentucky,,Closed,
558,United States,Confucius Institute of the State of Washington,,Closed,
559,United States,Davis School District,Unknown,open,
560,United States,Emory University,Nanjing University,Closed,
561,United States,George Mason University,Beijing Language and Culture University,Closed,
562,United States,George Washington University,Xiamen University,Closed,
563,United States,Georgia State University,Beijing Language and Culture University,Closed,
564,United States,Houston Independent School District,,Closed,
565,United States,Indiana University-Purdue University,Sun Yat-sen University,Closed,
566,United States,Kansas State University,,Closed,
567,United States,Kennesaw State University,Yangzhou University,Closed,
568,United States,Medgar Evers College,Hunan University of Technology and Business,Closed,
569,United States,Miami Dade College,Jiangsu Normal University,Closed,
570,United States,Miami University,Liaoning Normal University,Closed,
571,United States,Michigan State University,The Open University of China (China Central Radio and TV University),Closed,
572,United States,Middle Tennessee State University,Hangzhou Normal University,Closed,
573,United States,New Jersey City University,Jilin HuaQiao University of Foreign Languages,Closed,
574,United States,New Mexico State University,Shijiazhuang Vocational College of Science & Technology; Hebei Normal University,Closed,
575,United States,New York Confucius Institute for Global Finance at Baruch College,,Closed,
576,United States,North Carolina State University,Nanjing Normal University,Closed,
577,United States,Northern State University,University of Jinan,Closed,
578,United States,Northwest Nazarene University,Northwest University of Xi'an,Closed,
579,United States,Old Dominion University,Minzu University of China,Closed,
580,United States,Pace University,"Nanjing Normal University,Phoenix publishing & media group",Closed,
581,United States,Pacific Lutheran University,"Sichuan University, Chongqing Education Commission",open,
582,United States,Pennsylvania State University,Dalian University of Technology,Closed,
583,United States,Pfeiffer University,Shanxi University,Closed,
584,United States,Portland State University,Soochow University,Closed,
585,United States,Prairie View A&M University,Xi'an International Studies University,Closed,
586,United States,Presbyterian College,Guizhou University,Closed,
587,United States,Purdue University,Shanghai Jiao Tong University,Closed,
588,United States,Rutgers University,Jilin University,Closed,
589,United States,"Confucius Institute at the University at Albany, State University of New York",Southwestern University of Finance and Economics,Closed,SUNY Albany
590,United States,"Confucius Institute at State College of Optometry, State University of New York",Wenzhou Medical University,Closed,SUNY College of Optometry
591,United States,Confucius Institute for Business at State University of New York,Nanjing University Of Finance & Economics,Closed,SUNY Global Center
592,United States,Confucius Institute in San Diego at San Diego Global Educational Institute,Xiamen University,open,
593,United States,San Diego State University,Xiamen University,Closed,
594,United States,San Francisco State University,Beijing Normal University,Closed,
595,United States,Savannah State University,Jiujiang University,Closed,
596,United States,Simpson County Schools,Unknown,Open,
597,United States,Southern Utah University,Hunan Normal University,Open,
598,United States,St. Cloud State University ,The Education Department of Jilin Province,Open,
599,United States,Stanford University,Peking University,Open,
600,United States,Stony Brook University,Zhongnan University of Economics and Law,Closed,
601,United States,Temple University,Zhejiang Normal University,Closed,
602,United States,Texas A&M University,Ocean University of China in Qingdao,Closed,
603,United States,Texas Southern University,Beijing Jiaotong University,Closed,
604,United States,Troy University,Hebei Normal University of Science and Technology,Open,
605,United States,Tufts University,Beijing Normal University,Closed,
606,United States,Tulane University,East China Normal University,Closed,
607,United States,University at Buffalo,Capital Normal University,Closed,
608,United States,University of Akron,Henan University,Closed,
609,United States,"University of Alaska, Anchorage",Northeast Normal University,Closed,
610,United States,University of Arizona,Shaanxi Normal University,Closed,
611,United States,University of California Santa Barbara,Shandong University,Closed,
612,United States,"University of California, Los Angeles",Shanghai Jiao Tong University,Closed,
613,United States,University of California-Davis,Jiangnan University,Closed,
614,United States,University of Central Arkansas,East China Normal University,Closed,
615,United States,University of Chicago,Renmin University of China,Closed,
616,United States,University of Delaware,Xiamen University,Closed,
617,United States,University of Hawaii Manoa,Beijing Foreign Studies University,Closed,
618,United States,University of Idaho,South China University of Technology,Closed,
619,United States,University of Illinois-Urbana Champaign,Jiangxi Normal University,Closed,
620,United States,University of Iowa,East China Normal University,Closed,
621,United States,University of Kansas,Central China Normal University,Closed,
622,United States,University of Kentucky,Shanghai University,Closed,
623,United States,University of Maryland,Nankai University,Closed,
624,United States,University of Massachusetts Boston,Renmin University of China,Closed,
625,United States,University of Memphis,Hubei University,Closed,
626,United States,University of Michigan,Renmin University of China,Closed,
627,United States,University of Minnesota,Capital Normal University,Closed,
628,United States,University of Missouri,Shanghai Normal University,Closed,
629,United States,University of Montana,Southwest University of Political Science & Law,Closed,
630,United States,University of Nebraska Lincoln,Xi`an Jiaotong University,Closed,
631,United States,University of New Hampshire,Chengdu University,Closed,
632,United States,University of North Carolina Charlotte,Chinese Testing International,Closed,
633,United States,University of North Florida,Shaanxi Normal University,Closed,
634,United States,University of Oklahoma,Beijing Normal University,Closed,
635,United States,University of Oregon,East China Normal University,Closed,
636,United States,University of Pittsburgh,Wuhan University,Closed,
637,United States,University of Rhode Island,Zhejiang University,Closed,
638,United States,University of South Carolina,Beijing Language and Culture University,Closed,
639,United States,University of South Florida,Qingdao University,Closed,
640,United States,University of Southern Maine,Dongbei University of Finance and Economics,Closed,
641,United States,University of Tennessee Knoxville,Southeast University,Closed,
642,United States,University of Texas - Dallas,Southeast University,Closed,
643,United States,University of Texas - San Antonio,University of International Business and Economics,Closed,
644,United States,University of Toledo,Yanshan University,Open,
645,United States,University of Utah,Sichuan University,Open,
646,United States,University of Washington,"Sichuan University, Chongqing Municipal Education Commission",Closed,
647,United States,University of West Florida,Sichuan International Studies University,Closed,
648,United States,University of Wisconsin-Platteville,South-Central University For Nationalities,Closed,
649,United States,Valparaiso University,Zhejiang University of Technology,Closed,
650,United States,Valparaiso University ,Zhejiang University of Technology,Open,
651,United States,Wayne State University,Huazhong University of Science and Technology,Closed,
652,United States,Webster University ,Beijing Language and Culture University,Open,
653,United States,Wesleyan College,Guangzhou University,Open,
654,United States,West Virginia University,Tianjin University Of Finance & Economics,Closed,
655,United States,Western Kentucky University,North China Electric Power University,Closed,
656,United States,Western Michigan University,Beijing Language and Culture University,Closed,
657,United States,Xavier University,Hebei University,Closed,
658,Uruguay,"Confucius Institute at the Universidad de la Republica, Uruguay",,Closed,
659,Uzbekistan,Confucius Institute at Samarkand State Institute,,Open,
660,Uzbekistan,Confucius Institute in Tashkent State Institute,,Closed,
661,Venezuela,Confucius Institute at Universidad Bolivariana de Venezuela,,Closed,
662,Venezuela,Confucius Institute at the Bolivarian University of Venezuela in Caracas,,Closed,
663,Vietnam,Confucius Institute at Hanoi University,,Closed,
664,Zambia,Confucius Institute at University of Zambia,,Closed,
665,Zimbabwe,Confucius Institute at the University of Zimbabwe,,Closed,
