index,Country,Confucius Institute,Location,Status
261,Luxembourg,Confucius Institute at the University of Luxembourg,the university of luxembourg,Open
262,Macedonia,Confucius Institute at SS Cyril and Methodius University,ss cyril and methodius university,Closed
263,Macau,Confucius Institute at University of Macau,university of macau,Closed
264,Madagascar,Confucius Institute at Antananarivo University,antananarivo university,Closed
265,,Confucius Institute at Toamasina University,toamasina university,Closed
266,Malaysia,Kong Zi Institute for the Teaching of Chinese Language at University of Malaya,university of malaya,Closed
267,Malaysia,Confucius Institute at SEGI University,segi university,Closed
268,Malaysia,Confucius Institute at Universiti Malaysia Sabah,universiti malaysia sabah,Closed
269,Malaysia,Confucius Institute at Universiti Malaysia Pahang,universiti malaysia pahang,Closed
270,Malaysia,Confucius Institute at University College of Technology Sarawak,university college of technology sarawak,Closed
271,Malawi,Confucius Institute at University of Malawi,university of malawi,Closed
272,Malta,Confucius Institute at the University of Malta,the university of malta,Closed
273,Maldives,Chinese Language Center at Villa College,villa college,Closed
274,Mali,Confucius Institute at University of Letters and Human Science of Bamako,university of letters and human science of bamako,Closed
275,Mauritania,Confucius Institute at Nouakchott University,nouakchott university,Closed
276,Mauritius,Confucius Institute at University of Mauritius,university of mauritius,Closed
277,Mexico,Confucius Institute in Mexico City Huaxia,"Mexico City, Mexico",Closed
278,Mexico,Confucius Institute at Autonomous University of New Leon,autonomous university of new leon,Closed
279,Mexico,Confucius Institute at Autonomous University of Yucatan,autonomous university of yucatan,Closed
280,Mexico,Confucius Institute at National Autonomous University of Mexico,national autonomous university of mexico,Closed
281,Mexico,Confucius Institute at Autonomous University of Chihuahua,autonomous university of chihuahua,Closed
282,Moldova,Confucius Institute at Free International University of Moldova,free international university of moldova,Closed
283,Mongolia,Confucius Institute at National University of Mongolia,national university of mongolia,Open
284,Mongolia,Confucius Institute at Mongolian State University of Education,mongolian state university of education,Open
285,Mongolia,Confucius Institute at Khovd university,khovd university,Closed
286,Mongolia,Confucius Institute at Dornod University,dornod university,Closed
287,Morocco,Confucius Institute at Mohammed V University,mohammed v university,Closed
288,Morocco,Confucius Institute at Hassan II University,hassan ii university,Closed
289,Morocco,Confucius Institute at Abdelmalek Essaadi University,abdelmalek essaadi university,Closed
290,Mozambique,Confucius Institute at Eduardo Mondlane University,eduardo mondlane university,Closed
291,Namibia,Confucius Institute at the University of Namibia,the university of namibia,Closed
292,Nepal,Confucius Institute at Kathmandu University,kathmandu university,Closed
293,Nepal,Confucius Institute at Tribhuvan University,tribhuvan university,Closed
294,Netherlands,Groningen Confucius Institute,"Groningen, Netherlands",Open
295,Netherlands,Confucius Institute at ZUYD University of Applied Sciences,zuyd university of applied sciences,Closed
296,New Zealand,Confucius Institute in Auckland,"Auckland, New Zealand",Closed
297,New Zealand,Confucius Institute at University of Canterbury,university of canterbury,Closed
298,New Zealand,Confucius Institute at Victoria University of Wellington,victoria university of wellington,Open
299,Nigeria,Confucius Institute at the University of Lagos,the university of lagos,Closed
300,Nigeria,Confucius Institute at Nnamdi Azikiwe University,nnamdi azikiwe university,Closed
301,Norway,Confucius Institute in Bergen,"Bergen, Norway",Closed
302,Pakistan,Confucius Institute in Islamabad,"Islamabad, Pakistan",Closed
303,Pakistan,Confucius Institute at University of Karachi,university of karachi,Closed
304,Pakistan,"Confucius Institute at University of Agriculture, Faisalabad","university of agriculture, faisalabad",Closed
305,Pakistan,Confucius Institute at University of the Punjab,university of the punjab,Open
306,Pakistan,Confucius Institute at University of Sargodha,university of sargodha,Closed
307,Palestinian Territory,Confucius Institute at Al-Quds University,al-quds university,Open
308,Panama,Confucius Institute at University of Panama,university of panama,Closed
309,Papua New Guinea,Confucius Institute at Papua New Guinea University of Technology,papua new guinea university of technology,Closed
311,Peru,Confucius Institute at Catholic University of Santa Maria,catholic university of santa maria,Closed
312,Peru,Confucius Institute at University of Piura,university of piura,Open
313,Peru,Confucius Institute at Catholic University of Peru,catholic university of peru,Open
314,Peru,Confucius Institute at Ricardo Palma University,ricardo palma university,Closed
315,Philippines,Confucius Institute at Ateneo de Manila University,ateneo de manila university,Closed
316,Philippines,Confucius Institute at Bulacan State University,bulacan state university,Closed
317,Philippines,Confucius Institute at Angeles University Foundation,angeles university foundation,Open
318,Philippines,Confucius Institute at University of the Philippines,university of the philippines,Closed
319,Philippines,Confucius Institute at Ateneo De Davao University,ateneo de davao university,Closed
320,Poland,Confucius Institute in Krakow,"Krakow, Poland",Open
321,Poland,Confucius Institute in Opole,"Opole, Poland",Closed
322,Poland,Confucius Institute at Adam Mickiewicz University,adam mickiewicz university,Open
323,Poland,Confucius Institute at the University of Wroclaw,the university of wroclaw,Closed
324,Poland,Confucius Institute at University of Gdansk,university of gdansk,Closed
325,Poland,Confucius Institute at Warsaw University of Technology,warsaw university of technology,Open
326,Portugal,Confucius Institute at the University of Lisbon,the university of lisbon,Closed
327,Portugal,Confucius Institute at the University of Minho,the university of minho,Open
328,Portugal,Confucius Institute at University of Aveiro,university of aveiro,Open
329,Portugal,Confucius Institute at University of Coimbra,university of coimbra,Closed
330,Portugal,Confucius Institute at University of Porto,university of porto,Closed
331,Romania,Confucius Institute at Lucian Blaga University of Sibiu,lucian blaga university of sibiu,Closed
332,Romania,Confucius Institute at Babeay Bolyai University of Cluj-Napoca,babeay bolyai university of cluj-napoca,Closed
333,Romania,Confucius Institute at Transilvania University of Brasov,transilvania university of brasov,Closed
334,Romania,Confucius Institute at the University of Bucharest,the university of bucharest,Closed
335,Russia,Confucius Institute at Far Eastern National University,far eastern national university,Closed
336,Russia,Confucius Institute at Russian State University for the Humanities,russian state university for the humanities,Open
337,Russia,Confucius Institute at Lomonosov Moscow State University,lomonosov moscow state university,Closed
338,Russia,Confucius Institute at Saint-Petersburg State University,saint-petersburg state university,Closed
339,Russia,Confucius Institute at Irkutsk State University,irkutsk state university,Closed
340,Russia,Confucius Institute at Novosibirsk State University of Technology,novosibirsk state university of technology,Closed
341,Russia,Confucius Institute at Kazan Federal State University,kazan federal state university,Closed
342,Russia,Confucius Institute at Blagoveshchensk National Pedagogical University,blagoveshchensk national pedagogical university,Closed
343,Russia,Confucius Institute at The Kalmyk State University,the kalmyk state university,Open
344,Russia,Confucius Institute at Tomsk State University,tomsk state university,Closed
345,Russia,Confucius Institute at Buryat State University,buryat state university,Closed
346,Russia,Confucius Institute at Ural Federal University,ural federal university,Open
347,Russia,Confucius Institute at Moscow State Linguistic University,moscow state linguistic university,Closed
348,Russia,Confucius Institute at Ryazan State University,ryazan state university,Closed
349,Russia,Confucius Institute at Nizhny Novgorod State Linguistic University,nizhny novgorod state linguistic university,Closed
350,Russia,Confucius Institute at Volgograd State Pedagogical University,volgograd state pedagogical university,Open
351,Russia,Confucius Institute at Amur State University of Humanities and Pedagogy,amur state university of humanities and pedagogy,Closed
352,Russia,Confucius Institute at Novosibirsk State University,novosibirsk state university,Closed
353,Russia,Confucius Institute at Krasnoyark State Pdeagogical University of V.P. Astafyev,krasnoyark state pdeagogical university of v.p. astafyev,Closed
354,Rwanda,Confucius Institute at University of Rwanda-College of Education,university of rwanda-college of education,Closed
355,Senegal,Confucius Institute at University of Dakar,university of dakar,Open
356,Samoa,Confucius Institute at National University of Samoa,national university of samoa,Closed
357,San Marino,Confucius Institute at University of the Republic of San Marino,university of the republic of san marino,Closed
358,Sao Tome and Principe,Confucius Institute at Sao Tome and Principe University,sao tome and principe university,Closed
359,Saudi Arabia,Confucius Institute at University of Jeddah,university of jeddah,Closed
360,Serbia,Confucius Institute in Belgrade,"Belgrade, Serbia",Open
361,Serbia,Confucius Institute at University of Novi Sad,university of novi sad,Closed
362,Seychelles,Confucius Institute at University of Seychelles,university of seychelles,Closed
363,Sierra Leone,Cofucius Institute at University of Sierra Leone,university of sierra leone,Closed
364,Singapore,Confucius Institute at the Nanyang Technological University,the nanyang technological university,Closed
365,Slovakia,Confucius Institute in Bratislava,"Bratislava, Slovakia",Closed
366,Slovakia,Confucius Institute at Comenius University,comenius university,Open
367,Slovakia,Confucius Institute for Business at Matej Bel University,matej bel university,Closed
368,Slovenia,Confucius Institute at the University of Ljubljana,the university of ljubljana,Closed
369,South Africa,Confucius Institute at Stellenbosch University,stellenbosch university,Closed
370,South Africa,Confucius Institute at the University of Cape Town,the university of cape town,Closed
371,South Africa,Confucius Institute at Rhodes University,rhodes university,Closed
372,South Africa,Confucius Institute at Durban University of Technology,durban university of technology,Closed
373,South Africa,Confucius Institute at the University of Johannesburg,the university of johannesburg,Closed
