destination_area,2000,2005,2010,2015,2020,2000males,2005males,2010males,2015males,2020males,2000females,2005females,2010females,2015females,2020females,growth,average,country_id
Guinea,166,116,81,169,161,131,94,65,134,129,35,22,16,35,32,0.6302833541450958,138.6,76
Guyana,580,780,610,645,676,343,465,375,397,416,237,315,235,248,260,0.2325726842342668,658.2,47
Haiti,313,297,311,326,341,181,172,180,189,199,132,125,131,137,142,0.5290476321014719,317.6,48
Honduras,443,434,425,596,608,277,273,270,379,388,166,161,155,217,220,1.900812713614016,501.2,49
Hungary,7543,9259,11058,13867,17648,3969,4941,5970,6960,8911,3574,4318,5088,6907,8737,4.2078416571702455,11875.0,170
Iceland,177,335,483,582,747,83,128,171,183,269,94,207,312,399,478,6.864341642048697,464.8,91
India,92343,96684,100003,110098,108008,47583,50293,51531,56733,55657,44760,46391,48472,53365,52351,0.8866274724521013,101427.2,194
Indonesia,83502,72094,65307,72302,76028,44109,40757,36626,41236,43293,39393,31337,28681,31066,32735,-0.3693136242598918,73846.6,216
Ireland,8337,12314,14263,14570,16704,4105,6371,6835,6888,7954,4232,5943,7428,7682,8750,3.116234676523195,13237.6,87
Israel,921,747,582,600,581,411,333,259,265,258,510,414,323,335,323,-2.281108177446926,686.2,145
Italy,74865,137633,194677,199617,233338,35971,68705,98669,99548,115128,38894,68928,96008,100069,118210,5.290825834870812,168026.0,171
Japan,335600,648120,687156,714570,775893,155039,296819,311580,337804,366794,180561,351301,375576,376766,409099,3.5475887955142618,632267.8,242
Jordan,11287,8474,17493,16151,20933,1260,3032,5236,4339,5578,10027,5442,12257,11812,15355,3.7606595906595928,14867.6,146
Kazakhstan,1588,1811,2033,2162,2274,855,997,1139,1227,1291,733,814,894,935,983,1.790569210645085,1973.6,211
Kyrgyzstan,438,375,308,271,262,223,191,155,136,132,215,184,153,135,130,-2.7051120366428183,330.8,212
Laos,3005,2820,8110,13400,14338,1664,1596,5576,9555,10226,1341,1224,2534,3845,4112,9.367578793787727,8334.6,227
Latvia,326,281,230,268,369,175,149,118,152,208,151,132,112,116,161,0.40086167304949955,294.8,187
Lebanon,5103,3918,2789,2358,2058,107,238,365,1130,1006,4996,3680,2424,1228,1052,-4.647910893494245,3245.2,147
Lesotho,114,116,118,168,221,65,66,67,97,126,49,50,51,71,95,3.388604589086816,147.4,104
Libya,2264,2494,2737,3064,3280,1494,1796,1977,2206,2382,770,698,760,858,898,1.8945078574614662,2767.8,132
Liechtenstein,52,58,66,81,113,27,29,31,34,47,25,29,35,47,66,3.772588688775693,74.0,157
Lithuania,137,105,60,53,191,81,46,2,0,48,56,59,58,53,143,-0.03816686433678314,109.2,188
Luxembourg,927,804,691,1054,4295,450,415,385,595,1931,477,389,306,459,2364,6.6745099952546845,1554.2,162
Madagascar,1458,1609,1784,1979,2193,820,906,1005,1112,1234,638,703,779,867,959,2.0467769406175016,1804.6,119
Malaysia,54430,29909,9306,11347,12024,26406,14796,4895,6058,6588,28024,15113,4411,5289,5436,-7.978455373261443,23403.2,228
Mali,76,309,2795,3439,4035,46,186,1553,1909,2243,30,123,1242,1530,1792,20.70730242873991,2130.8,79
Malta,220,259,292,495,1076,97,117,124,229,545,123,142,168,266,531,7.6449721792157765,468.4,133
Marshall Islands,153,231,296,318,318,107,156,199,211,212,46,75,97,107,106,3.565721190067734,263.2,243
Martinique,139,145,151,175,173,77,79,81,92,91,62,66,70,83,82,1.2513751084742317,156.6,51
Mauritania,156,158,110,158,172,46,51,41,55,62,110,107,69,103,110,0.39055387825566257,150.8,80
Mauritius,8049,5172,2584,2974,3003,865,788,965,1203,1215,7184,4384,1619,1771,1788,-5.05044751018491,4356.4,120
Mexico,2665,4698,7274,8849,9706,1363,2525,3981,5630,6217,1302,2173,3293,3219,3489,6.436495917557849,6638.4,13
Micronesia,17944,13231,5992,5754,5942,5339,3868,2020,2021,2110,12605,9363,3972,3733,3832,-6.086174672571801,9772.6,244
Micronesia,8,15,18,21,20,4,9,13,14,14,4,6,5,7,6,4.338107400739047,16.4,244
Mongolia,2013,4994,8546,10595,11419,1235,4057,7444,8841,9516,778,937,1102,1754,1903,8.446899951972789,7513.4,239
Myanmar,44999,38118,35082,33656,35104,23227,19832,18543,17929,18698,21772,18286,16539,15727,16406,-1.2422912632819028,37391.8,229
Namibia,4078,3224,3106,3039,3252,2931,2312,2229,2183,2339,1147,912,877,856,913,-1.0235345432862495,3339.8,108
Nauru,428,402,125,198,229,251,233,74,120,144,177,169,51,78,85,-3.917974883959199,276.4,219
Nepal,22820,20155,20977,20302,19428,13348,10998,6200,5946,5580,9472,9157,14777,14356,13848,-0.6291540662155057,20736.4,198
Netherlands,32395,43672,52617,61901,72803,15607,19328,23217,27011,31790,16788,24344,29400,34890,41013,3.936670633310392,52677.6,163
New Caledonia,101,107,114,87,91,52,56,60,42,45,49,51,54,45,46,-0.830885472912284,100.0,220
New Zealand,48896,82055,91730,99936,155941,23766,39828,44446,48327,75411,25130,42227,47284,51609,80530,5.033409002096871,95711.6,95
Nicaragua,81,121,129,139,144,56,78,84,91,95,25,43,45,48,49,2.5788233546821466,122.8,53
Northern Mariana Islands,13566,9611,2894,2592,2614,2973,1840,269,230,232,10593,7771,2625,2362,2382,-9.207697183989671,6255.4,245
Norway,4529,6909,9823,12197,13579,1897,2388,3322,4341,4808,2632,4521,6501,7856,8771,5.528823489279215,9407.4,180
Pakistan,363,347,338,334,311,210,201,196,194,188,153,146,142,140,123,-0.694807262282783,338.6,200
Palau,1079,550,526,473,486,624,389,364,336,333,455,161,162,137,153,-3.4919711448997313,622.8,246
Panama,11671,12642,16182,18946,22764,6325,6698,8548,9984,12388,5346,5944,7634,8962,10376,3.481429280049117,16441.0,54
Papua New Guinea,103,103,87,88,87,28,31,28,30,31,75,72,59,58,56,-0.9900678258030666,93.6,222
Paraguay,882,840,800,780,844,494,471,448,436,474,388,369,352,344,370,-0.32437418995077927,829.2,22
Peru,2981,3502,6491,18783,31931,1634,1930,4069,14936,24783,1347,1572,2422,3847,7148,12.844509983333566,12737.6,19
Philippines,88686,71782,35650,36208,38541,44277,36400,17369,17671,18855,44409,35382,18281,18537,19686,-4.702225045670787,54173.4,237
Poland,674,932,1221,1162,1550,313,421,540,526,787,361,511,681,636,763,3.7722506414564734,1107.8,173
Portugal,5247,8913,11103,12588,14434,2510,4466,5691,6140,7267,2737,4447,5412,6448,7167,4.73818638788919,10457.0,82
Puerto Rico,1315,1422,1351,1088,1212,624,673,633,508,564,691,749,718,580,648,-0.8617054778250193,1277.6,55
South Korea,92142,243217,490407,759204,803011,47637,121985,233675,362953,376444,44505,121232,256732,396251,426567,10.936783122487693,477596.2,238
Romania,2100,2101,2695,3722,6544,1209,1228,1591,2170,3582,891,873,1104,1552,2962,5.690140490998665,3432.4,190
Russia,60211,58293,55177,56231,56196,35020,33360,31029,31499,31481,25191,24933,24148,24732,24715,-0.34806554212329743,57221.6,247
Saint Lucia,38,48,55,52,49,19,24,27,26,25,19,24,28,26,24,1.177021968884036,48.4,60
Samoa,75,70,62,50,46,59,55,48,39,37,16,15,14,11,9,-2.6283313414312874,60.6,7
Serbia,1870,1845,1804,1763,1796,1026,1003,980,956,976,844,842,824,807,820,-0.25243059209946495,1815.6,175
Seychelles,103,279,456,510,519,89,243,398,449,459,14,36,58,61,60,7.675097467539022,373.4,124
Sierra Leone,266,221,207,195,187,259,216,188,120,42,7,5,19,75,145,-1.6598770536164604,215.2,84
Singapore,311501,366057,441008,505913,514110,137564,156109,183074,209743,212791,173937,209948,257934,296170,301319,2.651290124913203,427717.8,230
